"Aaron McIntyre","Q98270397","2017 United Kingdom general election","Lagan Valley","Alliance Party of Northern Ireland"
"Albert Price",,,,
"Bill Manwaring",,,,
"Brian Brennan",,,,
"Brian Higginson",,,,
"Brian Kingston",,,,
"Charles Leddy",,,,
"Chris McGimpsey",,,,
"Conor Campbell",,,,
"Derek O'Brien Peters",,,,
"Donnamarie Higgins","Q76130888","2019 United Kingdom general election","Belfast West","Alliance Party of Northern Ireland"
"Frederick Parkinson",,,,
"George Albert Haffey",,,,
"Gerard Catney",,,,
"J. R. Smiley",,,,
"John Boyd Carpenter",,,,
"John Brady",,,,
"John Cousins",,,,
"Kitty O'Kane",,,,
"Liam Kennedy",,,,
"Lynda Gilby","Q98247426","2005 United Kingdom general election","Belfast East","Make Politicians History"
"Lynda Gilby","Q98247426","2005 United Kingdom general election","Belfast North","Make Politicians History"
"Mary Daly",,,,
"Mary McMahon",,,,
"Michael Francis Kennedy",,,,
"Monica Digney","Q76119842","2019 United Kingdom general election","Belfast West","Aontú"
"Patrick J. Magee",,,,
"Patrick Nash",,,,
"Paul Doherty","Q76130936","2019 United Kingdom general election","Belfast West","Social Democratic and Labour Party"
"Paul Shea",,,,
"Peter Donal Patrick Kerins",,,,
"Sorcha Eastwood","Q76130673","2019 United Kingdom general election","Lagan Valley","Alliance Party of Northern Ireland"
"Thomas Heenan",,,,
"Tim Attwood",,,,
